ID_Number,Date,AM_PM,Route_Number,Q1_1,Q1_2,Q1_3,Q1_4,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3Specified,Q4_1,Q4_2,Q4_3,Q4_4,Q4Specified,Q5Start,Q5End,Q6,Duration.of.Trip,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_5Specified,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11Specified,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_10Specified,Q13,Q14,Q15,Q16,Q16Specified,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24,Q25,Q25Specified,Q26,Q26Specified,Q27,Q27Specified,Q27English,Q28,Q29,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q32_1,Q32_2,Q32_3,Q33
259,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,8,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,10-15 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,U of L,Yes,No,No,No,NA,Extremely likely,Completely satisfied,Completely satisfied,Completely satisfied,4,4,4,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,4,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,MCT,Female,19,Caucasian,,In the United States,,No,,,2,1,"$35,000 to less than $50,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",Yes
260,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,5,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,0-5 minutes,Never,Printable schedules online,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,10,Less than 15 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Never,NA,Paper schedules,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Yes,,4,4,4,4,4,4,4,4,4,Completely satisfied,Completely satisfied,4,Completely satisfied,4,4,Completely satisfied,4,4,4,4,4,4,GPU,Female,20,Caucasian,,In the United States,,No,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,10,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,10-15 minutes,Never,Printable schedules online,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Yes,,Extremely likely,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,2,4,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,3,Extremely important,Extremely important,Extremely important,KWD,Female,21,Caucasian,,In the United States,,No,,,4,4,"Less than $25,000",Yes,Yes,No,No,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",No
263,4/17/2013,am,94,NA,NA,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,10,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,0-5 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,No,No,No,NA,NA,3,3,4,4,Not at all satisfied,2,4,NA,Completely satisfied,Completely satisfied,4,3,Completely satisfied,Completely satisfied,4,3,4,Extremely important,Extremely important,2,4,NA,Male,24,Caucasian,,In the United States,,No,,,5,1,"More than $75,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, but don't use regularly","Yes, but don't use regularly","Yes, use regularly",No
264,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,10,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,10-15 minutes,Never,NA,NA,NA,NA,NA,Ask another rider,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,No,I don't trust cards,4,2,2,4,3,3,4,4,3,3,3,3,3,3,2,3,Not at all important,2,Not at all important,3,4,4,OYS,Female,20,Hispanic/Latino,,Outside the United States,South America,No,,,4,1,"$35,000 to less than $50,000",Yes,Yes,No,Yes,Yes,Yes,No,No,"Yes, use regularly",No
265,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,Get a ride in someone else's car,NA,NA,,NA,School,NA,NA,,,,15,15-30 Minutes,Yes,NA,NA,NA,NA,NA,,5-10 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Yes,,3,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,4,NA,NA,NA,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,4,NA,NA,NA,NA,NA,NA,OYS,Male,20,Caucasian,,In the United States,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, use regularly","Yes, use regularly","Yes, but don't use regularly",NA
266,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",NA,NA,NA,NA,NA,Something else,motorcycle,NA,School,NA,NA,,,,15,15-30 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,More than 20 minutes,Never,NA,NA,NA,NA,NA,Ask another rider,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,Not employed,No,free for U of L students,Not at all likely,3,2,4,3,2,3,2,3,3,3,3,4,4,Completely satisfied,4,3,4,3,Extremely important,4,3,CFS,Male,24,Other,NA,In the United States,,No,,,1,NA,"Less than $25,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,No
267,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,10,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,15-20 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Yes,,Extremely likely,3,3,4,2,3,3,3,3,4,4,4,4,4,4,4,3,Extremely important,4,3,4,3,EMV,Female,21,Caucasian,,In the United States,,No,,,4,NA,"More than $75,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",No
268,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,7,Less than 15 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Yes,,Extremely likely,4,4,4,4,2,3,3,4,Completely satisfied,Completely satisfied,4,4,4,4,4,2,4,4,4,4,4,NA,Female,25,Hispanic/Latino,,In the United States,,No,,,2,NA,"More than $75,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly",No,"Yes, use regularly",No
269,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,Get a ride in someone else's car,NA,NA,,NA,School,NA,NA,,,,NA,,NA,NA,NA,NA,Leave car at Park & Ride,NA,,0-5 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,No,NA,Not at all likely,4,4,4,4,3,4,4,3,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Not at all important,3,Not at all important,Not at all important,Not at all important,3,PGX,Female,20,Caucasian,,In the United States,,No,,,5,NA,NA,Yes,Yes,No,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",No
270,4/17/2013,am,94,Express Route,NA,NA,NA,A few times a month,Drive myself in my car,NA,NA,Get a ride in someone else's car,NA,NA,,NA,School,NA,NA,,,,40,30-45 Minutes,Yes,NA,NA,Dropped off,NA,NA,,5-10 minutes,Sometimes,Printable schedules online,Paper schedules,NA,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Yes,,4,2,2,4,3,3,3,4,4,4,4,4,2,3,3,4,4,Extremely important,4,4,4,Not at all important,CWM,Female,22,Caucasian,,In the United States,,No,,,3,1,"$35,000 to less than $50,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly",No,"Yes, but don't use regularly",No
271,4/17/2013,am,94,Express Route,NA,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,5,Less than 15 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Never,NA,NA,NA,NA,NA,NA,Some other way,school,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,Yes,Yes,,3,4,Completely satisfied,Completely satisfied,4,2,4,4,Completely satisfied,Completely satisfied,4,3,4,Completely satisfied,Completely satisfied,4,4,3,NA,4,3,4,ACF,Female,20,Caucasian,,In the United States,,No,,,3,1,"$50,000 to less than $75,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, but don't use regularly",No,"Yes, but don't use regularly",No
272,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,5,Less than 15 Minutes,Yes,NA,NA,NA,NA,Other,Drive,0-5 minutes,Never,NA,NA,NA,NA,NA,Ask another rider,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Yes,,4,4,2,4,4,3,4,Completely satisfied,4,3,3,Completely satisfied,4,4,4,4,4,4,2,3,3,2,SRU,Female,20,Caucasian,,In the United States,,No,,,6,1,"More than $75,000",Yes,Yes,No,No,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",No
273,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,10,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,0-5 minutes,Never,NA,Paper schedules,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,Not employed,Unsure,,Extremely likely,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,3,4,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,4,4,4,4,4,4,OFS,Female,21,Caucasian,,In the United States,,No,,,2,NA,"Less than $25,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",No
274,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,7.5,Less than 15 Minutes,No,NA,NA,NA,NA,Other,leave car at stadium,15-20 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Unsure,,3,2,2,4,2,Not at all satisfied,2,2,3,3,3,3,2,2,3,3,4,4,4,4,4,Extremely important,HIS,Female,20,Caucasian,,In the United States,,No,,,3,1,"$50,000 to less than $75,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",No
275,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,10,Less than 15 Minutes,No,Walk,NA,NA,NA,NA,,0-5 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,No,No,NA,,NA,3,3,4,4,Not at all satisfied,2,NA,NA,2,4,4,Not at all satisfied,Completely satisfied,NA,2,NA,NA,NA,NA,NA,NA,VTN,Male,21,Caucasian,,In the United States,,No,,,5,1,"More than $75,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, but don't use regularly",No,No,NA
276,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,10,Less than 15 Minutes,Yes,NA,NA,NA,NA,Other,car& park at stadium,10-15 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,Yes,No,free,Not at all likely,3,2,4,4,2,3,3,3,4,4,3,3,4,Completely satisfied,4,2,4,3,3,2,Extremely important,VTN,Female,19,Caucasian,,In the United States,,No,,,3,NA,"$35,000 to less than $50,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, but don't use regularly",No
277,4/17/2013,am,94,Express Route,BUS Bus Service,NA,NA,"Several times a week, but not every day",Drive myself in my car,Walk,NA,Get a ride in someone else's car,NA,NA,,NA,School,NA,NA,,,,6,Less than 15 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,U of L,No,No,No,Unsure,,Extremely likely,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,IWT,Male,27,Caucasian,,In the United States,,No,,,2,NA,"Less than $25,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",No
278,4/17/2013,am,94,NA,NA,NA,NA,"Several times a week, but not every day",Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,5,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,5-10 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Yes,,Extremely likely,Not at all satisfied,Not at all satisfied,Completely satisfied,4,Not at all satisfied,NA,Completely satisfied,Completely satisfied,2,2,2,3,3,3,4,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,NPY,Female,NA,Caucasian,,In the United States,,No,,,3,2,"Less than $25,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but don't use regularly",No,"Yes, but don't use regularly",No
279,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",NA,Walk,NA,Get a ride in someone else's car,NA,NA,,NA,School,NA,NA,,,,5,Less than 15 Minutes,Yes,Walk,NA,NA,Leave car at Park & Ride,NA,,5-10 minutes,Never,Printable schedules online,NA,NA,NA,NA,Ask another rider,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Unsure,,Extremely likely,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,4,Extremely important,Extremely important,EMD,Female,19,Caucasian,,In the United States,,No,,,3,1,"$25,000 to less than $35,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but don't use regularly","Yes, use regularly","Yes, but don't use regularly",No
280,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,Work,School,NA,NA,,,,8,Less than 15 Minutes,Yes,NA,NA,NA,NA,Other,car,0-5 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Yes,,4,Completely satisfied,Completely satisfied,4,Completely satisfied,4,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,4,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,WHM,Male,20,Caucasian,,In the United States,,No,,,6,1,"$25,000 to less than $35,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but don't use regularly","Yes, but don't use regularly","Yes, but don't use regularly",No
281,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",Drive myself in my car,Walk,NA,NA,NA,NA,,NA,School,NA,NA,,,,10,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,15-20 minutes,Never,NA,NA,NA,NA,NA,NA,Some other way,school,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Unsure,,Not at all likely,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Extremely important,4,4,4,4,CAY,Female,22,Caucasian,,In the United States,,No,,,4,NA,"$50,000 to less than $75,000",Yes,No,Yes,Yes,Yes,Yes,"Yes, use regularly",No,"Yes, but don't use regularly",No
282,4/17/2013,am,94,Express Route,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,10,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,0-5 minutes,Rarely,NA,NA,Ask the driver,NA,NA,Ask another rider,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,NA,No,Yes,,Not at all likely,3,3,3,2,2,Completely satisfied,4,Not at all satisfied,3,3,3,3,3,Completely satisfied,NA,Not at all important,Extremely important,Not at all important,Extremely important,Extremely important,3,NKL,Male,21,African American,,In the United States,,No,,,3,1,"$35,000 to less than $50,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",NA
283,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,Walk,NA,NA,NA,NA,,NA,School,NA,NA,,,,5,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,10-15 minutes,Rarely,NA,NA,NA,NA,NA,NA,Some other way,U of L's cardinal shuttle times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,Walk,NA,NA,NA,NA,,NA,School,NA,NA,,,,10,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,0-5 minutes,Rarely,NA,NA,Ask the driver,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Yes,,Extremely likely,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,GPU,Female,22,Caucasian,,In the United States,,No,,,2,2,"Less than $25,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly",No,"Yes, but don't use regularly",No
285,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,10,Less than 15 Minutes,Yes,Walk,NA,NA,NA,NA,,5-10 minutes,Never,Printable schedules online,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,Not at all likely,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,NA,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,CZN,Female,20,Caucasian,,In the United States,,No,,,4,1,"$35,000 to less than $50,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly",NA,No
286,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,7.5,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,More than 20 minutes,Never,NA,Paper schedules,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,10 ride special tickets,NA,,Yes,No,No,No,NA,Not at all likely,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,2,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,2,Completely satisfied,4,Not at all important,Extremely important,2,Not at all important,Not at all important,Not at all important,HIS,Male,21,Caucasian,,In the United States,,No,,,4,NA,NA,Yes,Yes,No,No,Yes,Yes,"Yes, use regularly",No,"Yes, but don't use regularly",No
287,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,15,15-30 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,15-20 minutes,Never,NA,NA,NA,NA,NA,NA,Some other way,NA,NA,NA,NA,NA,NA,NA,Transfer,NA,NA,NA,,No,No,No,Yes,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,2,2,CFS,Female,21,Caucasian,,In the United States,,No,,,6,1,"$50,000 to less than $75,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, use regularly","Yes, but don't use regularly","Yes, but don't use regularly",No
288,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,5,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,15-20 minutes,Never,NA,NA,NA,NA,NA,NA,Some other way,notified by school,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,No,I don't have to pay because of school,Not at all likely,4,Completely satisfied,Completely satisfied,4,3,Completely satisfied,Completely satisfied,4,Completely satisfied,4,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,4,Extremely important,3,Extremely important,4,3,DBC,Male,20,Caucasian,,In the United States,,No,,,4,1,"More than $75,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, use regularly","Yes, but don't use regularly","Yes, but don't use regularly",No
289,4/17/2013,am,94,Express Route,NA,NA,NA,"Several times a week, but not every day",Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,15,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,5-10 minutes,Never,Printable schedules online,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,U of L,Yes,No,No,Unsure,,3,3,2,4,2,2,4,4,3,3,3,3,3,3,3,4,4,4,3,3,3,2,IYV,Female,21,Caucasian,,In the United States,,No,,,4,1,"$35,000 to less than $50,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, use regularly","Yes, but don't use regularly","Yes, use regularly",No
290,4/17/2013,am,94,NA,NA,NA,NA,"Several times a week, but not every day",Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,5,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,0-5 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,Not employed,Unsure,,3,3,Not at all satisfied,4,4,NA,Not at all satisfied,4,3,Completely satisfied,Completely satisfied,4,3,Completely satisfied,Completely satisfied,4,3,3,Not at all important,3,3,Extremely important,ACF,Female,21,Caucasian,,In the United States,,No,,,4,NA,"More than $75,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly","Yes, but don't use regularly","Yes, but don't use regularly",No
291,4/17/2013,am,94,Express Route,NA,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,6,Less than 15 Minutes,Yes,NA,NA,NA,Leave car at Park & Ride,NA,,0-5 minutes,Never,NA,Paper schedules,NA,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,No,No,Yes,,Extremely likely,3,3,3,4,NA,3,4,3,4,4,4,4,4,4,4,3,3,3,4,4,2,IYV,Female,18,Caucasian,,In the United States,,No,,,3,1,"$50,000 to less than $75,000",Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA
292,4/17/2013,am,94,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,10,Less than 15 Minutes,Yes,NA,NA,NA,NA,NA,,0-5 minutes,Never,NA,NA,NA,NA,NA,NA,Some other way,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Unsure,,Not at all likely,4,4,4,4,4,4,3,4,3,3,3,3,3,Completely satisfied,4,3,2,3,3,3,Not at all important,GPU,Male,26,Caucasian,,In the United States,,No,,,1,1,"$25,000 to less than $35,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",No
293,4/17/2013,am,94,Express Route,NA,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,7,Less than 15 Minutes,Yes,NA,NA,NA,NA,Other,drive,0-5 minutes,Never,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Unsure,,Not at all likely,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,4,Completely satisfied,Completely satisfied,4,4,4,Completely satisfied,4,Extremely important,4,4,Extremely important,4,KWD,Male,18,Caucasian,,Outside the United States,Kosovo,Yes,Albanian,Very well,3,1,"$50,000 to less than $75,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly",No,"Yes, use regularly",No
